system:index,Iden No.,DID,NAME,Year,NDVI_Mean,NDBI_Mean,NDWI_Mean,Distance,Elevation_Mean,Slope_Mean,flooded
00000000000000000000,1,11,Simalu Guri,,0.522326,-0.159883,-0.406637063975136,232.522018724,84.90587850365360,0.472380724748864,0
00000000000000000001,2,8,Ahomakha,,0.521394,-0.171456,-0.425159394941793,283.404779845,114.78780991735500,0.37873718772884000,0
00000000000000000002,3,5,Bhutia Para N.C.,,0.701245,-0.287036,-0.5438024914273850,5911.253268448,349.5989994227440,7.424362190324390,0
00000000000000000003,4,11,Kalda Ghat,,0.465294,-0.154489,-0.356324556468489,217.875403048,76.23694298035460,0.15853754603440100,0
00000000000000000004,5,17,Dahikhor Gaon,,0.460492,-0.167306,-0.372829580380012,189.731087957,94.39225445213470,0.6636151054533520,0
00000000000000000005,6,11,Miri Pathar,,0.552552,-0.211909,-0.416008476418872,95.209559559,77.4274175944117,1.1152553949793800,0
00000000000000000006,7,11,Monabari T.E. 195/327,,0.604510,-0.204418,-0.470047051566079,1213.735233720,85.39777873625190,0.6649894602508380,0
00000000000000000007,8,11,No.2 Toltoli,,0.318203,-0.092674,-0.231465911970561,9.620806315,78.23989294266800,0.7035580788614260,0
00000000000000000008,9,8,No.2 Sonajuli,,0.505347,-0.188371,-0.416587794855488,2826.487900816,159.14192485972200,0.6481046390327320,0
00000000000000000009,10,16,Rojabheta Lakhimijan Grant,,0.650637,-0.257255,-0.5099108757282240,1716.843431015,177.56656286492800,8.01119150542978,0
0000000000000000000a,11,11,Gonai Tapu,,0.323446,-0.036684,-0.270762818506889,80.564349690,75.99237804878050,0.18847240219993500,0
0000000000000000000b,12,8,Nagaon,,0.461291,-0.126549,-0.382221933993307,932.851002767,114.24974530636000,0.315609612134698,0
0000000000000000000c,13,11,Majuli Ghur T.E. 65/97,,0.489125,-0.130057,-0.396434977153474,531.077556257,78.01630941286110,0.15036055931729500,0
0000000000000000000d,14,11,No.1 Chapai Bagan,,0.631673,-0.256140,-0.495185736442606,968.105762269,110.5680693069310,0.4072029409874780,0
0000000000000000000e,15,8,No.6 Majuli,,0.479992,-0.123041,-0.382679181887232,64.757367234,111.00479110770400,0.3744940914473530,0
0000000000000000000f,16,17,Ghuria,"2019, 2020",-0.090284,-0.126403,0.110742026894069,0.000000000,77.85570531757750,0.5239577805939810,1
00000000000000000010,17,7,No.3. Dongargaon,,0.547101,-0.170402,-0.445070690244763,2459.245001356,140.1673197492160,0.9454203510020500,0
00000000000000000011,18,17,Garia Habi,,0.546834,-0.204398,-0.430253339979868,523.022466875,95.38986629134410,0.284294733414551,0
00000000000000000012,19,16,Deopani Bagisha,,0.509804,-0.190974,-0.413457250711377,2001.228436009,109.70012067578400,0.5301610573463900,0
00000000000000000013,20,17,Chapanihabi Gaon,,0.526100,-0.211219,-0.415003327702508,220.232435558,97.95109261186260,0.2793061011710230,0
00000000000000000014,21,11,Kachu Bil,,0.469156,-0.158956,-0.364662279935319,385.295494260,75.8305524191862,0.2768509379305200,0
00000000000000000015,22,17,Nam Deuri,,0.520784,-0.223459,-0.399267677445223,33.133299652,83.68887367860670,0.30711556893105200,0
00000000000000000016,23,17,Niz Bali Gaon,,0.463493,-0.180141,-0.369691881171802,221.737689182,88.5542097049863,0.5685069371902630,0
00000000000000000017,24,18,No.2 Bokuli Chapori,,0.440387,-0.116384,-0.341645759662434,0.000000000,80.93378443692610,0.28551066834650600,0
00000000000000000018,25,11,Santipur,,0.560277,-0.159028,-0.446043074869962,230.041388220,77.98382450697990,0.37885534033631600,0
00000000000000000019,26,11,Balisuti Bangali,,0.559532,-0.200851,-0.44728907275311,589.284262479,106.91195171893500,0.44992019730705500,0
0000000000000000001a,27,11,No.2 Hatijan,,0.273377,-0.074010,-0.194143515914139,66.927637580,78.41746538871140,0.6462247364929180,0
0000000000000000001b,28,8,Murkati,,0.575447,-0.209065,-0.453106577011079,1327.955131272,110.06556993150300,0.4175737512530580,0
0000000000000000001c,29,16,Baruah Pukhuri Baghjan Gran,,0.550998,-0.215298,-0.433267444222637,1449.843910639,104.92278611524800,0.463613287848642,0
0000000000000000001d,30,8,No.1 Khomabari,,0.432910,-0.126105,-0.361492813024912,624.654522391,117.45730715613400,0.3082522670167140,0
0000000000000000001e,31,11,Deka Pathar,,0.435750,-0.115833,-0.346301353676512,242.693701762,80.68326666666670,0.29205557839671800,0
0000000000000000001f,32,11,Barbil Kachari,,0.623945,-0.233928,-0.485529539678787,596.704287905,84.75795786560050,0.3094416246707210,0
00000000000000000020,33,11,Nakania Pathar,,0.516412,-0.168420,-0.398689241122729,493.305229398,82.06909028256380,0.3616571060646910,0
00000000000000000021,34,11,Begun Bari Bagicha,,0.631080,-0.240997,-0.49634816756276,733.986739719,82.08514877789590,0.415474777841321,0
